cluster,base_sit,outs_when_up,rbi_occurs_pct,n
1,321,0,13.1,122
2,321,0,23.8,189
3,321,0,38.1,147
4,321,0,28.5,137
5,321,0,28.3,159
6,321,0,38.4,242
7,321,0,28.2,156
1,321,1,14.2,267
2,321,1,23.5,430
3,321,1,33.9,280
4,321,1,33.4,290
5,321,1,26.9,323
6,321,1,36.3,564
7,321,1,31.5,321
1,321,2,8.7,286
2,321,2,15,555
3,321,2,23.1,390
4,321,2,14.6,391
5,321,2,12.2,385
6,321,2,18.6,646
7,321,2,12.4,404
1,32_,0,12.2,98
2,32_,0,22.2,171
3,32_,0,30.8,130
4,32_,0,31.2,154
5,32_,0,22.3,139
6,32_,0,38,208
7,32_,0,36.7,109
1,32_,1,17.2,233
2,32_,1,22.8,368
3,32_,1,37.4,235
4,32_,1,31.8,258
5,32_,1,27.9,312
6,32_,1,38.3,441
7,32_,1,33.1,332
1,32_,2,6.6,290
2,32_,2,11.6,490
3,32_,2,18.5,271
4,32_,2,10,331
5,32_,2,10.5,439
6,32_,2,17.7,604
7,32_,2,9.3,366
1,3_1,0,15.5,155
2,3_1,0,21.6,255
3,3_1,0,39.1,192
4,3_1,0,26.7,176
5,3_1,0,27.4,197
6,3_1,0,30.1,286
7,3_1,0,37.7,175
1,3_1,1,18.7,278
2,3_1,1,22.5,503
3,3_1,1,33.3,333
4,3_1,1,23.1,350
5,3_1,1,23.5,391
6,3_1,1,35.8,656
7,3_1,1,30.7,414
1,3_1,2,6,397
2,3_1,2,12.7,667
3,3_1,2,14.8,466
4,3_1,2,13.6,538
5,3_1,2,10.5,533
6,3_1,2,15.4,823
7,3_1,2,10.5,485
1,3__,0,9,67
2,3__,0,26.8,82
3,3__,0,30.3,76
4,3__,0,35.1,77
5,3__,0,19.5,87
6,3__,0,37.4,123
7,3__,0,24.7,97
1,3__,1,16.1,292
2,3__,1,20.4,432
3,3__,1,32.8,268
4,3__,1,25.4,335
5,3__,1,25.9,347
6,3__,1,34.8,546
7,3__,1,31,419
1,3__,2,5.4,443
2,3__,2,11.2,731
3,3__,2,15.7,489
4,3__,2,11.8,515
5,3__,2,9.6,575
6,3__,2,13.2,862
7,3__,2,11.8,507
1,_21,0,2.8,356
2,_21,0,7.2,708
3,_21,0,15.2,540
4,_21,0,8.6,511
5,_21,0,5.8,446
6,_21,0,11.6,787
7,_21,0,6,447
1,_21,1,5.1,731
2,_21,1,8,1280
3,_21,1,13.3,813
4,_21,1,9.4,849
5,_21,1,7.2,901
6,_21,1,11.3,1514
7,_21,1,8.3,924
1,_21,2,4.4,929
2,_21,2,7.3,1537
3,_21,2,14.7,1071
4,_21,2,8.9,1077
5,_21,2,7.7,1107
6,_21,2,13.8,1874
7,_21,2,9.7,1094
1,_2_,0,1.9,486
2,_2_,0,6,821
3,_2_,0,14.7,612
4,_2_,0,8.5,691
5,_2_,0,4.8,736
6,_2_,0,9.8,1053
7,_2_,0,6.4,686
1,_2_,1,3.8,824
2,_2_,1,6.8,1392
3,_2_,1,12.7,955
4,_2_,1,7.1,1077
5,_2_,1,7.6,1033
6,_2_,1,10.3,1606
7,_2_,1,8.6,1012
1,_2_,2,5,1097
2,_2_,2,10.1,1713
3,_2_,2,14.7,1173
4,_2_,2,9.9,1250
5,_2_,2,10.2,1418
6,_2_,2,13.5,2178
7,_2_,2,9.4,1401
1,__1,0,0.8,1275
2,__1,0,2.4,2513
3,__1,0,6.9,2109
4,__1,0,1.9,2054
5,__1,0,0.7,2053
6,__1,0,3.9,3528
7,__1,0,1.3,1875
1,__1,1,1.3,1855
2,__1,1,3.1,3415
3,__1,1,7.3,2554
4,__1,1,2.3,2509
5,__1,1,0.6,2452
6,__1,1,3.8,4255
7,__1,1,1.5,2504
1,__1,2,0.7,1892
2,__1,2,3.4,3656
3,__1,2,7.1,2496
4,__1,2,2.3,2497
5,__1,2,1.3,2445
6,__1,2,4.1,4300
7,__1,2,1.7,2515
1,___,0,0.5,7135
2,___,0,2.1,12045
3,___,0,5,9288
4,___,0,1.4,8745
5,___,0,0.3,8932
6,___,0,2.4,15257
7,___,0,0.8,9107
1,___,1,0.3,5280
2,___,1,1.9,9157
3,___,1,4.7,6522
4,___,1,1.3,6794
5,___,1,0.3,6681
6,___,1,2.2,11535
7,___,1,0.7,6602
1,___,2,0.3,4513
2,___,2,2,7652
3,___,2,4.1,5169
4,___,2,1.2,5087
5,___,2,0.2,5107
6,___,2,2.3,9133
7,___,2,0.7,5342
